Base,Latitude,Longitude,MGRS,AFSC_Code,AFSC_Full_Name,PDF_URL,Base_URL,Aircraft,Base_Type
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,31P1,31P1 (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-20/C-37,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,31P1,31P1 (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-32,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,31P1,31P1 (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-40,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,31P1,31P1 (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,F-16,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,31P1,31P1 (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,UH-1N,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,31P1,31P1 (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,VC-25,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-17,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-20/C-37,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-32,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-40,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,F-16,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,UH-1N,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,VC-25,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1C,32E1C (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-17,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1C,32E1C (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-20/C-37,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1C,32E1C (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-32,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1C,32E1C (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-40,Active Duty
