afsc,grd,ilc_title,billet_count,afsc_title
B011S3Y,LTCOL,MILDENHALL,2,"SQ OPS/OPS SPT OFF, SPECIAL OPS PILOT, GENERAL"
B011S3Y,MAJOR,HURLBURT FIELD,1,"SQ OPS/OPS SPT OFF, SPECIAL OPS PILOT, GENERAL"
C011B3A,LTCOL,ANDERSEN,1,"COMMANDER, BOMBER PILOT, B-1"
C011B3A,LTCOL,DYESS,3,"COMMANDER, BOMBER PILOT, B-1"
C011B3A,LTCOL,EGLIN,1,"COMMANDER, BOMBER PILOT, B-1"
C011B3A,LTCOL,ELLSWORTH,2,"COMMANDER, BOMBER PILOT, B-1"
C011B3B,LTCOL,EDWARDS,1,"COMMANDER, BOMBER PILOT, B-2"
C011B3B,LTCOL,WHITEMAN,6,"COMMANDER, BOMBER PILOT, B-2"
C011B3B,MAJOR,WHITEMAN,1,"COMMANDER, BOMBER PILOT, B-2"
C011B3C,LTCOL,BARKSDALE,6,"COMMANDER, BOMBER PILOT, B-52"
C011B3C,LTCOL,FAIRFORD,1,"COMMANDER, BOMBER PILOT, B-52"
C011B3C,LTCOL,MINOT,3,"COMMANDER, BOMBER PILOT, B-52"
C011B3D,LTCOL,ELLSWORTH,2,"COMMANDER, BOMBER PILOT, B-21"
C011B3Y,LTCOL,BARKSDALE,1,"COMMANDER, BOMBER PILOT, GENERAL"
C011B3Y,LTCOL,INCIRLIK AB,1,"COMMANDER, BOMBER PILOT, GENERAL"
C011B3Y,LTCOL,JB LANGLEY-EUSTIS,1,"COMMANDER, BOMBER PILOT, GENERAL"
C011E3A,LTCOL,DENVER,1,"COMMANDER, EXPER TEST PILOT, AIRLFT/TANK/BOMB"
C011E3B,LTCOL,DATA MASKED,4,"COMMANDER, EXPER TEST PILOT, FIGHTER"
C011E3B,LTCOL,EDWARDS,3,"COMMANDER, EXPER TEST PILOT, FIGHTER"
C011E3B,LTCOL,EGLIN,1,"COMMANDER, EXPER TEST PILOT, FIGHTER"
C011E3B,LTCOL,HOLLOMAN,1,"COMMANDER, EXPER TEST PILOT, FIGHTER"
C011E3B,MAJOR,DAVIS-MONTHAN,1,"COMMANDER, EXPER TEST PILOT, FIGHTER"
C011E3C,LTCOL,HURLBURT FIELD,1,"COMMANDER, EXPER TEST PILOT, HELO/VSTOL"
C011E3C,LTCOL,NELLIS,1,"COMMANDER, EXPER TEST PILOT, HELO/VSTOL"
C011E3D,LTCOL,EDWARDS,1,"COMMANDER, EXPER TEST PILOT, AIRLIFT"
C011E3D,LTCOL,EGLIN,1,"COMMANDER, EXPER TEST PILOT, AIRLIFT"
C011E3E,LTCOL,DATA MASKED,1,"COMMANDER, EXPER TEST PILOT, TANKER"
C011E3F,LTCOL,EDWARDS,1,"COMMANDER, EXPER TEST PILOT,  BOMBER"
C011E3Y,LTCOL,EDWARDS,1,"COMMANDER, EXPER TEST PILOT, GENERAL"
